Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_,Class_XII_Percentage,Father_occupation,Mother_occupation
male,ST,WA,ONE,SEBA,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,General,WA,TWO,SEBA,CBSE,ENGLISH,1,0,OTHERS,HOUSE_WIFE
male,General,OA,TWO,SEBA,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
male,General,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,General,OA,TWO,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,OBC,OA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,ST,WA,TWO,SEBA,CBSE,ENGLISH,0,1,DOCTOR,SCHOOL_TEACHER
female,General,NO,TWO,CBSE,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,SCHOOL_TEACHER
male,OBC,NO,ONE,CBSE,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,HOUSE_WIFE
male,SC,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,CULTIVATOR,HOUSE_WIFE
male,OBC,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,SCHOOL_TEACHER,HOUSE_WIFE
female,SC,WA,THREE,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,General,NO,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,ST,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,CULTIVATOR,OTHERS
male,General,OA,ONE,CBSE,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
male,General,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,ST,NO,ONE,SEBA,AHSEC,OTHERS,1,1,OTHERS,HOUSE_WIFE
male,General,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,OTHERS
male,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,HOUSE_WIFE
male,OBC,NO,TWO,CBSE,CBSE,ENGLISH,1,1,SCHOOL_TEACHER,HOUSE_WIFE
male,General,WA,ONE,OTHERS,OTHERS,ENGLISH,1,0,OTHERS,OTHERS
male,OBC,NO,FOUR,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,NO,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,BUSINESS,HOUSE_WIFE
female,General,OA,TWO,CBSE,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,OBC,WA,THREE,SEBA,AHSEC,OTHERS,0,0,BUSINESS,HOUSE_WIFE
male,OBC,WA,ONE,SEBA,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,ST,WA,TWO,CBSE,CBSE,ENGLISH,1,1,SCHOOL_TEACHER,HOUSE_WIFE
female,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,HOUSE_WIFE
male,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,1,0,SCHOOL_TEACHER,SCHOOL_TEACHER
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,OTHERS
female,SC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
male,OBC,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,OBC,OA,FOUR,SEBA,OTHERS,ENGLISH,1,0,COLLEGE_TEACHER,HOUSE_WIFE
male,SC,NO,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,COLLEGE_TEACHER
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,COLLEGE_TEACHER,COLLEGE_TEACHER
female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,OTHERS
male,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
male,General,WA,ONE,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
female,General,NO,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,OTHERS
female,OBC,OA,TWO,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,ST,NO,TWO,CBSE,CBSE,ENGLISH,1,0,CULTIVATOR,HOUSE_WIFE
female,SC,NO,TWO,SEBA,AHSEC,OTHERS,1,1,ENGINEER,HOUSE_WIFE
male,ST,OA,THREE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,SC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,SC,NO,ONE,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,OBC,WA,ONE,SEBA,AHSEC,ASSAMESE,1,1,OTHERS,SCHOOL_TEACHER
female,SC,WA,THREE,SEBA,AHSEC,ASSAMESE,0,0,SCHOOL_TEACHER,HOUSE_WIFE
male,ST,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,CULTIVATOR,HOUSE_WIFE
male,General,NO,ONE,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,HOUSE_WIFE
male,SC,OA,TWO,SEBA,CBSE,OTHERS,1,0,OTHERS,HOUSE_WIFE
female,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
female,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
female,OBC,NO,ONE,SEBA,AHSEC,ASSAMESE,1,1,COLLEGE_TEACHER,COLLEGE_TEACHER
male,OBC,WA,ONE,SEBA,AHSEC,ASSAMESE,0,0,BUSINESS,OTHERS
female,OBC,OA,TWO,CBSE,CBSE,ENGLISH,1,1,BUSINESS,BUSINESS
male,General,OA,ONE,CBSE,CBSE,ENGLISH,1,1,DOCTOR,SCHOOL_TEACHER
male,OBC,WA,THREE,SEBA,AHSEC,ASSAMESE,0,0,OTHERS,HOUSE_WIFE
male,SC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
male,OBC,WA,THREE,CBSE,CBSE,ENGLISH,0,1,OTHERS,HOUSE_WIFE
male,General,NO,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
male,General,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,OBC,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,ST,NO,ONE,SEBA,AHSEC,ENGLISH,0,1,OTHERS,HOUSE_WIFE
female,SC,NO,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,OTHERS
male,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,CULTIVATOR,HOUSE_WIFE
female,General,WA,ONE,SEBA,AHSEC,OTHERS,1,1,OTHERS,HOUSE_WIFE
female,General,OA,THREE,CBSE,CBSE,ENGLISH,1,0,OTHERS,HOUSE_WIFE
male,SC,OA,TWO,SEBA,AHSEC,ENGLISH,0,0,BUSINESS,HOUSE_WIFE
female,General,NO,ONE,CBSE,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,SCHOOL_TEACHER
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,COLLEGE_TEACHER,SCHOOL_TEACHER
male,SC,NO,THREE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,ST,WA,TWO,SEBA,AHSEC,ENGLISH,0,0,OTHERS,HOUSE_WIFE
female,OBC,WA,TWO,SEBA,CBSE,ENGLISH,1,1,OTHERS,OTHERS
male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,1,1,CULTIVATOR,SCHOOL_TEACHER
male,General,NO,TWO,CBSE,CBSE,ENGLISH,1,0,BANK_OFFICIAL,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,DOCTOR,SCHOOL_TEACHER
male,OBC,OA,TWO,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
female,SC,NO,TWO,CBSE,CBSE,ENGLISH,1,1,ENGINEER,OTHERS
male,General,WA,THREE,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,OTHERS,HOUSE_WIFE
female,OBC,WA,SEVEN,CBSE,CBSE,ENGLISH,1,0,OTHERS,HOUSE_WIFE
male,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,SC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,CULTIVATOR,HOUSE_WIFE
male,General,NO,ONE,CBSE,AHSEC,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
male,SC,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,SCHOOL_TEACHER
male,General,NO,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,SC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,SCHOOL_TEACHER
female,General,WA,THREE,SEBA,AHSEC,ASSAMESE,1,1,SCHOOL_TEACHER,HOUSE_WIFE
male,General,NO,ONE,SEBA,AHSEC,OTHERS,1,1,CULTIVATOR,HOUSE_WIFE
male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,OTHERS
male,ST,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,0,1,COLLEGE_TEACHER,HOUSE_WIFE
male,General,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,COLLEGE_TEACHER,SCHOOL_TEACHER
male,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,OTHERS,HOUSE_WIFE
female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,DOCTOR,OTHERS
female,General,NO,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,ST,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
female,SC,WA,THREE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,OBC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,SCHOOL_TEACHER,HOUSE_WIFE
female,General,NO,ONE,CBSE,CBSE,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,OTHERS
male,OBC,WA,TWO,SEBA,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
female,ST,WA,ONE,CBSE,CBSE,ENGLISH,1,1,ENGINEER,OTHERS
male,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,HOUSE_WIFE
male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
female,General,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,BANK_OFFICIAL,HOUSE_WIFE
female,General,WA,ONE,OTHERS,CBSE,ENGLISH,1,1,ENGINEER,DOCTOR
male,General,OA,TWO,CBSE,CBSE,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
female,General,WA,THREE,SEBA,AHSEC,ENGLISH,1,1,COLLEGE_TEACHER,SCHOOL_TEACHER
male,General,OA,TWO,SEBA,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,HOUSE_WIFE
male,ST,WA,TWO,SEBA,AHSEC,ENGLISH,1,0,OTHERS,HOUSE_WIFE
male,OBC,NO,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,NO,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,THREE,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,HOUSE_WIFE
male,OBC,WA,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,OBC,NO,TWO,SEBA,AHSEC,ENGLISH,0,1,OTHERS,OTHERS
female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,SCHOOL_TEACHER,HOUSE_WIFE
female,ST,WA,TWO,CBSE,AHSEC,ENGLISH,1,0,BUSINESS,HOUSE_WIFE
female,ST,WA,THREE,SEBA,AHSEC,ENGLISH,0,0,SCHOOL_TEACHER,HOUSE_WIFE
male,General,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,COLLEGE_TEACHER,SCHOOL_TEACHER
female,ST,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,COLLEGE_TEACHER,HOUSE_WIFE
female,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,BANK_OFFICIAL,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,ST,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,THREE,SEBA,AHSEC,OTHERS,1,1,CULTIVATOR,HOUSE_WIFE
male,General,WA,THREE,SEBA,AHSEC,OTHERS,1,1,OTHERS,HOUSE_WIFE
female,ST,WA,TWO,SEBA,AHSEC,ENGLISH,1,0,SCHOOL_TEACHER,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,General,NO,ONE,CBSE,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,HOUSE_WIFE
male,General,OA,ONE,SEBA,CBSE,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
male,ST,WA,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
male,General,NO,TWO,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,ST,WA,TWO,SEBA,AHSEC,ENGLISH,0,0,OTHERS,SCHOOL_TEACHER
female,ST,WA,TWO,OTHERS,OTHERS,ENGLISH,1,1,SCHOOL_TEACHER,HOUSE_WIFE
female,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
female,ST,OA,THREE,OTHERS,OTHERS,ENGLISH,0,0,CULTIVATOR,HOUSE_WIFE
female,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,BUSINESS,BUSINESS
male,General,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,SC,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,SCHOOL_TEACHER,HOUSE_WIFE
female,General,NO,TWO,SEBA,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,OBC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,SCHOOL_TEACHER,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,OBC,WA,THREE,SEBA,AHSEC,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
male,ST,WA,TWO,SEBA,AHSEC,ENGLISH,0,0,OTHERS,HOUSE_WIFE
male,SC,NO,ONE,SEBA,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,General,NO,ONE,CBSE,CBSE,ENGLISH,1,1,OTHERS,COLLEGE_TEACHER
female,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,OTHERS
male,General,NO,ONE,OTHERS,CBSE,ENGLISH,1,1,OTHERS,COLLEGE_TEACHER
male,General,NO,ONE,SEBA,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,ST,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
male,SC,WA,THREE,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,OBC,OA,TWO,CBSE,CBSE,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
male,ST,WA,TWO,CBSE,CBSE,ENGLISH,1,0,OTHERS,HOUSE_WIFE
male,OBC,WA,THREE,CBSE,CBSE,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,0,0,SCHOOL_TEACHER,SCHOOL_TEACHER
male,General,WA,TWO,SEBA,AHSEC,OTHERS,1,1,OTHERS,HOUSE_WIFE
male,General,WA,ONE,OTHERS,CBSE,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
female,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,OBC,WA,THREE,CBSE,CBSE,ENGLISH,1,0,OTHERS,OTHERS
male,OBC,OA,TWO,SEBA,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,General,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,COLLEGE_TEACHER
female,General,WA,ONE,CBSE,CBSE,ENGLISH,1,1,COLLEGE_TEACHER,COLLEGE_TEACHER
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
male,General,WA,THREE,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
male,ST,NO,ONE,SEBA,AHSEC,ASSAMESE,1,0,CULTIVATOR,HOUSE_WIFE
female,OBC,WA,TWO,SEBA,AHSEC,ASSAMESE,1,1,CULTIVATOR,SCHOOL_TEACHER
male,General,WA,THREE,SEBA,AHSEC,ENGLISH,0,1,BUSINESS,HOUSE_WIFE
male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,1,1,DOCTOR,OTHERS
female,ST,NO,ONE,SEBA,AHSEC,ENGLISH,1,0,BUSINESS,SCHOOL_TEACHER
female,SC,NO,ONE,SEBA,AHSEC,ENGLISH,1,1,SCHOOL_TEACHER,SCHOOL_TEACHER
female,ST,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,OTHERS
female,OBC,WA,THREE,SEBA,AHSEC,ENGLISH,1,1,OTHERS,OTHERS
female,General,OA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,OBC,OA,TWO,OTHERS,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,OBC,OA,THREE,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,General,OA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,SCHOOL_TEACHER
female,ST,WA,TWO,CBSE,CBSE,ENGLISH,1,0,OTHERS,HOUSE_WIFE
male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
male,General,WA,TWO,CBSE,AHSEC,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,SC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,BANK_OFFICIAL,SCHOOL_TEACHER
female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,DOCTOR,HOUSE_WIFE
male,SC,NO,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,General,WA,THREE,SEBA,AHSEC,ENGLISH,1,1,BUSINESS,HOUSE_WIFE
female,ST,WA,FOUR,SEBA,AHSEC,ASSAMESE,1,0,CULTIVATOR,HOUSE_WIFE
male,ST,WA,THREE,SEBA,AHSEC,ENGLISH,1,0,CULTIVATOR,HOUSE_WIFE
female,SC,NO,ONE,SEBA,AHSEC,ASSAMESE,1,1,OTHERS,HOUSE_WIFE
female,SC,NO,TWO,CBSE,CBSE,ENGLISH,1,1,ENGINEER,HOUSE_WIFE
male,SC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,SCHOOL_TEACHER,HOUSE_WIFE
female,ST,NO,TWO,CBSE,CBSE,ENGLISH,1,1,BANK_OFFICIAL,HOUSE_WIFE
female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,OBC,NO,FIVE,SEBA,AHSEC,OTHERS,0,0,SCHOOL_TEACHER,HOUSE_WIFE
male,General,WA,TWO,CBSE,CBSE,ENGLISH,1,1,OTHERS,HOUSE_WIFE
male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,1,0,OTHERS,HOUSE_WIFE
