id,Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_,Class_XII_Percentage,Father_occupation,Mother_occupation
25,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
26,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,OTHERS
27,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER
28,Excellent,male,General,OA,TWO,OTHERS,OTHERS,ENGLISH,Excellent,Vg,DOCTOR,OTHERS
29,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,COLLEGE_TEACHER
30,Excellent,female,General,NO,TWO,SEBA,AHSEC,ASSAMESE,Good,Vg,SCHOOL_TEACHER,HOUSE_WIFE
31,Excellent,female,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
32,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
33,Excellent,female,General,NO,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
34,Excellent,male,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,OTHERS,HOUSE_WIFE
35,Excellent,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,OTHERS
36,Excellent,female,General,OA,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
37,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,COLLEGE_TEACHER
38,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
39,Excellent,male,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
40,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,ENGINEER,HOUSE_WIFE
41,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,COLLEGE_TEACHER
42,Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Good,SCHOOL_TEACHER,SCHOOL_TEACHER
43,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE
44,Excellent,female,General,OA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
45,Excellent,male,SC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
46,Excellent,male,SC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Vg,OTHERS,HOUSE_WIFE
47,Excellent,female,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
48,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
49,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
50,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
51,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
52,Excellent,male,OBC,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
53,Excellent,female,General,WA,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE
54,Excellent,female,General,WA,TWO,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
55,Excellent,male,SC,OA,TWO,SEBA,AHSEC,ENGLISH,Good,Good,BUSINESS,HOUSE_WIFE
56,Excellent,male,General,WA,THREE,SEBA,AHSEC,ASSAMESE,Excellent,Good,COLLEGE_TEACHER,HOUSE_WIFE
57,Excellent,male,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Good,BANK_OFFICIAL,HOUSE_WIFE
58,Excellent,male,General,OA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
59,Excellent,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,BUSINESS,HOUSE_WIFE
60,Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE
61,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER
62,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
63,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER
64,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
65,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
66,Excellent,male,OBC,WA,ONE,SEBA,AHSEC,ASSAMESE,Average,Average,BUSINESS,OTHERS
67,Excellent,male,General,NO,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
68,Excellent,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
69,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
70,Excellent,female,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
71,Excellent,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Good,Good,OTHERS,HOUSE_WIFE
72,Excellent,male,General,WA,ONE,OTHERS,OTHERS,ENGLISH,Excellent,Good,OTHERS,OTHERS
73,Excellent,male,OBC,OA,TWO,OTHERS,OTHERS,OTHERS,Vg,Vg,BUSINESS,HOUSE_WIFE
74,Excellent,male,General,WA,THREE,SEBA,AHSEC,ASSAMESE,Vg,Good,OTHERS,SCHOOL_TEACHER
75,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER
76,Excellent,male,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
77,Excellent,female,General,WA,THREE,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
78,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
79,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS
80,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
81,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE
82,Excellent,male,General,OA,ONE,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
83,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
84,Excellent,male,General,WA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
85,Excellent,female,OBC,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
86,Excellent,male,General,NO,ONE,SEBA,AHSEC,OTHERS,Average,Good,OTHERS,HOUSE_WIFE
87,Excellent,male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
88,Excellent,female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
89,Excellent,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
90,Excellent,male,General,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
91,Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Excellent,CULTIVATOR,HOUSE_WIFE
92,Excellent,male,General,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
93,Excellent,male,General,WA,THREE,SEBA,CBSE,ENGLISH,Vg,Good,OTHERS,OTHERS
94,Excellent,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Good,Average,SCHOOL_TEACHER,SCHOOL_TEACHER
95,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,BANK_OFFICIAL
96,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
97,Excellent,male,General,OA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
98,Excellent,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
99,Excellent,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
100,Excellent,female,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
101,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
102,Vg,female,General,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
103,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
104,Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,BANK_OFFICIAL,BANK_OFFICIAL
105,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,BANK_OFFICIAL,HOUSE_WIFE
106,Vg,male,General,NO,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
107,Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE
108,Vg,male,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
109,Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Vg,Excellent,BUSINESS,HOUSE_WIFE
110,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
111,Vg,male,General,NO,ONE,SEBA,CBSE,ENGLISH,Good,Good,OTHERS,HOUSE_WIFE
112,Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
113,Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
114,Vg,male,General,WA,FOUR,CBSE,CBSE,ENGLISH,Vg,Vg,COLLEGE_TEACHER,COLLEGE_TEACHER
115,Vg,male,General,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
116,Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER
117,Vg,female,OBC,WA,THREE,SEBA,AHSEC,ENGLISH,Vg,Vg,ENGINEER,HOUSE_WIFE
118,Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
119,Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
120,Vg,male,General,WA,THREE,SEBA,AHSEC,OTHERS,Excellent,Good,SCHOOL_TEACHER,HOUSE_WIFE
121,Vg,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
122,Vg,female,OBC,WA,TWO,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
123,Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
124,Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
125,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Good,Vg,COLLEGE_TEACHER,HOUSE_WIFE
126,Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,DOCTOR,HOUSE_WIFE
127,Vg,female,OBC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,BUSINESS
128,Vg,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,OTHERS
129,Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
130,Vg,male,General,NO,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,CULTIVATOR,HOUSE_WIFE
131,Vg,female,OBC,WA,THREE,CBSE,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
132,Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Vg,BUSINESS,HOUSE_WIFE
133,Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
134,Vg,male,SC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
135,Vg,female,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
136,Vg,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
137,Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
138,Vg,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
139,Vg,female,OBC,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
140,Vg,female,General,WA,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
141,Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE
142,Vg,male,OBC,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
143,Vg,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
144,Vg,male,OBC,WA,ONE,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
145,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER
146,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
147,Vg,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
148,Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
149,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
150,Vg,female,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
151,Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER
152,Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE
153,Vg,female,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
154,Vg,female,General,OA,THREE,CBSE,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE
155,Vg,male,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Vg,COLLEGE_TEACHER,SCHOOL_TEACHER
156,Vg,female,General,WA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
157,Vg,male,General,OA,ONE,OTHERS,OTHERS,ENGLISH,Vg,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
158,Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
159,Vg,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS
160,Vg,female,OBC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
161,Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
162,Vg,female,SC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
163,Vg,male,General,WA,TWO,SEBA,CBSE,ENGLISH,Good,Good,SCHOOL_TEACHER,HOUSE_WIFE
164,Vg,male,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
165,Vg,male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
166,Vg,male,General,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,SCHOOL_TEACHER
167,Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Good,OTHERS,SCHOOL_TEACHER
168,Vg,male,SC,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,SCHOOL_TEACHER
169,Vg,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
170,Vg,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
171,Vg,female,General,NO,THREE,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE
172,Vg,male,OBC,NO,ONE,CBSE,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
173,Vg,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
174,Vg,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Vg,BUSINESS,HOUSE_WIFE
175,Vg,male,General,NO,ONE,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
176,Vg,male,General,NO,ONE,CBSE,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
177,Vg,male,SC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
178,Vg,male,OBC,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
179,Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER
180,Vg,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
181,Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
182,Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
183,Vg,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Vg,Vg,COLLEGE_TEACHER,HOUSE_WIFE
184,Vg,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,OTHERS,HOUSE_WIFE
185,Vg,female,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
186,Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,CULTIVATOR,HOUSE_WIFE
187,Vg,female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
188,Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
189,Vg,female,General,WA,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE
190,Vg,female,OBC,OA,THREE,SEBA,AHSEC,ENGLISH,Good,Vg,OTHERS,HOUSE_WIFE
191,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
192,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
193,Vg,male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE
194,Vg,male,OBC,NO,FOUR,SEBA,AHSEC,OTHERS,Vg,Vg,BUSINESS,HOUSE_WIFE
195,Vg,male,OBC,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
196,Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
197,Vg,male,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
198,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,SCHOOL_TEACHER
199,Vg,male,OBC,OA,TWO,SEBA,CBSE,ENGLISH,Vg,Excellent,BUSINESS,HOUSE_WIFE
200,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
201,Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
202,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
203,Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
204,Vg,male,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,SCHOOL_TEACHER
205,Vg,female,OBC,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,OTHERS
206,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
207,Vg,female,General,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
208,Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
209,Vg,male,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
210,Vg,male,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
211,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
212,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
213,Vg,female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
214,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
215,Vg,female,SC,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Vg,OTHERS,BANK_OFFICIAL
216,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE
